          505.9,               0          1.265,               0
          506.9,               0          1.343,               0
          507.8,               0          1.421,               0
          508.7,               0          1.448,               0
          509.6,               0          1.436,               0
          510.5,               0          1.431,               0
          511.4,               0           1.46,               0
          512.3,               0          1.525,               0
          513.3,               0          1.601,               0
          514.2,               0          1.659,               0
          515.1,               0          1.696,               0
            516,               0          1.746,               0
          516.9,               0          1.837,               0
          517.8,               0          1.955,               0
          518.7,               0           2.07,               0
          519.7,               0          2.161,               0
          520.6,               0           2.23,               0
          521.5,               0          2.304,               0
          522.4,               0          2.403,               0
          523.3,               0          2.517,               0
          524.2,               0          2.632,               0
          525.1,               0          2.762,               0
          526.1,               0          2.924,               0
            527,               0          3.099,               0
          527.9,               0          3.253,               0
          528.8,               0          3.388,               0
          529.7,               0           3.54,               0
          530.6,               0          3.724,               0
          531.6,               0           3.89,               0
          532.5,               0          4.004,               0
          533.4,               0          4.116,               0
          534.3,               0          4.304,               0
          535.2,               0          4.612,               0
          536.1,               0          4.965,               0
            537,               0           5.14,               0
            538,               0           5.03,               0
          538.9,               0          4.928,               0
          539.8,               0          5.007,               0
          540.7,               0           5.17,               0
          541.6,               0          5.264,               0
          542.5,               0          5.376,               0
          543.4,               0           5.61,               0
          544.4,               0          5.822,               0
          545.3,               0          5.883,               0
          546.2,               0          5.923,               0
          547.1,               0          5.969,               0
            548,               0          5.928,               0
          548.9,               0          5.742,               0
          549.9,               0          5.338,               0
          550.8,               0          4.936,               0
          551.7,               0          4.803,               0
          552.6,               0          4.924,               0
          553.5,               0          4.961,               0
          554.4,               0          4.608,               0
          555.3,               0          4.244,               0
          556.3,               0          4.124,               0
          557.2,               0          4.214,               0
          558.1,               0           4.38,               0
            559,               0          4.567,               0
          559.9,               0          4.775,               0
          560.8,               0          4.894,               0
          561.7,               0          4.893,               0
          562.7,               0           4.91,               0
          563.6,               0          5.004,               0
          564.5,               0          5.056,               0
          565.4,               0          4.975,               0
          566.3,               0          4.881,               0
          567.2,               0          4.931,               0
          568.1,               0          5.144,               0
          569.1,               0          5.321,               0
            570,               0          5.225,               0
          570.9,               0          5.019,               0
          571.8,               0          4.921,               0
          572.7,               0          4.924,               0
          573.6,               0          4.905,               0
          574.6,               0          4.809,               0
          575.5,               0          4.701,               0
          576.4,               0          4.674,               0
          577.3,               0          4.748,               0
          578.2,               0          4.856,               0
          579.1,               0          4.875,               0
            580,               0          4.736,               0
            581,               0          4.485,               0
          581.9,               0          4.249,               0
          582.8,               0          4.126,               0
          583.7,               0          4.099,               0
          584.6,               0          4.034,               0
          585.5,               0          3.831,               0
          586.4,               0          3.584,               0
          587.4,               0          3.413,               0
          588.3,               0          3.324,               0
          589.2,               0          3.256,               0
          590.1,               0          3.168,               0
            591,               0          3.063,               0
          591.9,               0          2.946,               0
          592.9,               0          2.831,               0
          593.8,               0          2.746,               0
          594.7,               0          2.689,               0
          595.6,               0          2.617,               0
          596.5,               0           2.52,               0
          597.4,               0          2.435,               0
          598.3,               0          2.377,               0
          599.3,               0          2.314,               0
          600.2,               0          2.235,               0
          601.1,               0          2.169,               0
            602,               0          2.129,               0
          602.9,               0          2.081,               0
          603.8,               0           2.01,               0
          604.7,               0           1.94,               0
